Date,Comment
2026-02-19T01:24:32Z,sebaiknya pemerintah ri mulai menyeimbangkan kondisi bertindak adil transparansi informatif pajak sangat berperanan menyeimbangkan misal banyak rumah kosong satu sisi banyak rakyat terlantar tidak memiliki tempat berteduh jaman sudah maju teknologi informasi tapi banyak masyarakat petani bertabrakan produksi yg berakibat hasil produksi harga jatuh
2026-02-18T18:03:50Z,yoi
2026-02-18T03:47:25Z,bla bla bla
2026-02-18T03:30:04Z,kalo mau tambah banyak ahli dipermudah dong pak syarat beasiswa semakin banyak yang berangkat semakin besar kemungkinan bertambahnya ahli
2026-02-18T01:51:54Z,timor leste penduduk sudah akses listrik gimana dengan indonesia yang sudah merdeka dan mepunyai sda yang mampuni
2026-02-14T06:06:35Z,perlunya program pemerintah berkesinambungan maka contoh garis haluan negara berjangka hingga jelas tujuan bangsa ini
2026-02-14T02:00:49Z,saya suka sekali
2026-02-13T16:26:28Z,diskusi yang luar biasa orang orang pinter aset bangsa yang cinta terhadap negaranya sehingga berlomba dengan segala cara untuk membangun negeri indonesia ini terima kasih pak purbaya dan pak gita
2026-02-13T03:47:18Z,pak seperti halnya buka map dari tempat yang tidak stabil growth dari investasi dari kepastian dan resiko banyak hutan dan kegelapan yang belum dijamah probabilitas seperti pilihan raja ampat yang ada probabilitas tambang namun dipilih melestarikan pariwisata dan keindahan alam serumit itu managemen keputusan pak
2026-02-13T03:36:43Z,pak kebijakan dan regulasi banyak dari aspirasi mahasiswa bagus dan mereka masih muda semangat menggebu gebu berani ambil langkah jauh seperti pak koboi pak purbaya saya teringat kata kata ir soekarno tentang pemuda yang bisa mengubah indonesia semangat
2026-02-13T03:33:40Z,pak sbn saat negara defisit yang debeli bank investor bi ritel bisa dioptimalkan kah kalo pengeluaran lebih besar dari pendapatan berarti return dari investasi tidak bisa nutup dan profit
2026-02-13T03:25:31Z,pak gesture tubuh bisa diimprove dengan gerak mata dan kedipan mata ketarik saat anda drive dan hilang kenangan yang baru saja berlalu serta dimasukkan oleh mereka mengenai asumsi kemiskinan itu definisi pengaruh pak menurut gw
2026-02-12T03:07:12Z,semangat pak put
2026-02-11T09:31:25Z,gedabrus lihat didaerah tuh rakyatnya menjerit
2026-02-10T14:53:41Z,tenaga pengajar dibayar jt tapi ya dipilih dong yg bagus dan dievaluasi nya spt swasta jgn kek pns
2026-02-10T07:27:02Z,coba sekali pengen lagi
2026-02-10T07:27:02Z,tempat santai anti ribet
2026-02-10T07:27:01Z,masuk dulu rasakan sendiri
2026-02-10T07:27:01Z,lagi hits wajib coba
2026-02-10T07:17:28Z,bismillah keren bpk bpk ini bismillah inn shaa allah niat baik utk nkri dimudahkan dlm segala hal oleh allah
2026-02-09T16:03:39Z,ini daging buat gen z
2026-02-09T11:14:10Z,anak muda bangsa ini harus banyak nontok perbincangan seperti ini
2026-02-08T19:11:35Z,obrolan orang orang pinter
2026-02-08T14:05:37Z,luar biasa pak gita dan purbaya isinya daging semua akhirnya terungkap juga dari sekian banyak masalah masalah utamanya botllenecking semoga purbaya berhasil menguruai ini kalau tidak pertumbuhan mustahil tercapai
2026-02-08T10:09:34Z,coba debat capres kyak gini pertanyaan dan jawabannya
2026-02-08T04:22:09Z,pa mentri menku pemimpin yang priyatin ulet disiplin maka sekrang melaksankan jujur trnparan
2026-02-07T02:41:27Z,setuju masa pur dosen nya dulu baru para guru sma smp sd tapi yang menenuhi syarat tingkat anggaran bea siswa perbanyak anak dapa beasiswa ikatan dinas
2026-02-06T18:24:27Z,trkh
2026-02-06T16:53:16Z,hutang tahun jumlah plastic isu jumlah e tahun
2026-02-06T17:01:55Z,saham turun peratus
2026-02-14T15:56:21Z,aset wang saya dari cr not tolong jaga sebentar ok ya ampun
2026-02-25T13:38:17Z,saham syarikat naik peratus
2026-02-06T03:58:19Z,you talk a blue streak
2026-02-05T10:44:27Z,jaman sekarang dogfight bukan sesama pesawat tapi pesawat dengan rudal mig bisa juga bantu mencegat kalau ada rudal jarak jauh mau menghantam kota kapal frigate bisa juga mengangkut rudal hipersonik jarak jauh untuk menambah jarak tembakan
2026-02-05T03:41:37Z,sukses selalu orang orang hebat
2026-02-04T18:30:34Z,bpk purbaya knp dri dulu hnya sebatas wacana saja redonmksi rupiah itu
2026-02-04T15:36:49Z,ini era penculik dan penipu ok wo
2026-02-04T15:24:08Z,karena korupsi ga ketolong simpel
2026-02-04T01:26:01Z,insight yang menginspirasi
2026-02-03T17:25:06Z,menit
2026-02-03T16:26:11Z,kuliah malam nih obrolan yang sangat berbobot
2026-02-03T15:30:47Z,pk purbaya semoga sehat selalu rakyat dukung pk purbaya dan selalu bersatu demi kesejahteraan indonesia maju hebat pk purbaya
2026-02-03T10:00:35Z,makin kesini makin jd omon quot ni omongan mentri ini
2026-02-02T12:52:46Z,capek quot mas purbaya hemat quot eh uangnya untuk membiayai israel beli senjata
2026-02-02T04:35:25Z,mentri gombal gabuul
2026-02-01T19:37:36Z,dari dulu lagi kita masih dibohongin adakah kedepan kita dibohongin
2026-02-01T02:33:06Z,dua orang hebat bicara tinggi tapi dapat kami pahami dgn mudah sukses selalu orang pinter kebanggaan indonesia
2026-01-31T19:02:46Z,yeay rp juta per bulan untuk seorang dosen saya siap mengabdi full time bapakku bismillah
2026-01-31T07:16:05Z,mkanya menteri itu dari profesional klau dari partai y jadinya macam zulikfli hasan bahlil merusak
2026-01-30T20:18:31Z,mohon maaf bukan semua semoga indonesia makin maju dalam segala hal indonesia makin berkibar
2026-01-30T19:36:26Z,masalah birokrasinya bagai mana baiknya bapak purbaya menku yg lebih tau dan cerdas semoga bapak presiden ri bapak prabowo tetap percaya kepada keputsan bapak purbaya dan menyetujuwinya mohon maaf semuanya terimakasih
2026-01-30T19:27:48Z,semoga penggabungan semua perekonomian indonesia kita tetap aman dan makin berkembang dan menghasilkan
2026-01-30T19:14:56Z,mohon maaf tadinya mau istirahat tapi belum ngantuk mohon maaf ikut nyimak terimakasih
2026-01-30T19:12:39Z,salam selamat pagi mohon maaf bapak purbaya menku ri ikut menimak pembicaran bapk berdua untuk sebagai pejaran semua pengalaman bapak purbaya mohon maaf terimakasih
2026-01-30T16:56:41Z,mentri gagal usaha makin susah daya beli masyarakat makin turun
2026-01-30T15:23:52Z,autoplay dengerin kuliah ekonomi sambil merem kedengeran sayup sayup suara pak pur ternyata podact dengan pak gita
2026-01-29T00:37:09Z,sulit nya menjadi orang baik yang amanah karena bertarung dengan oligarki dan mafia negara indonesia
2026-01-28T20:10:26Z,enlighten the nation s life
2026-01-28T19:14:03Z,idola
2026-01-28T07:17:23Z,presiden bnyak curhat metrinya banyak drakor omdo fakta kerja dilapangan nol
2026-01-28T05:50:52Z,pada menit kebalik pak kita perlu orang bermoral lebih banyak lagi orang pinter tanpa moral berbahaya
2026-01-28T18:18:23Z,nyatanya indonesia masih kekurangan orang pintar dan orang bermoral
2026-01-27T19:20:40Z,bagus
2026-01-27T18:23:39Z,cetak orang pinter dan yang penting jangan korupsi yah pak
2026-01-27T07:24:31Z,garis besar pola pikir pak purbaya ini adalah keseimbangan suply dan demand pak gita sepertinya banyak menuntu suplai suplai tapi pak purbaya bilang demandnya ada gak ciptakan keduanya secara harmoni
2026-01-27T06:51:09Z,ini lah indonesia sibuk omon omon
2026-01-27T05:50:04Z,saya sangat setuju gaji guru pengajar besar dan investasi kependidikan lebih besar untuk menciptakan orang pintar yang bisa mengabdi untuk kepentingan bangsa kita
2026-01-26T18:51:09Z,menurut saya pendidikan tentang ekonomi harus diajarkan mulai sejal sd dikarenakan suapaya generasi indonesia melek denagn kondisi ekonomi baik dalam keluarga dan juga negara
2026-01-26T16:28:32Z,pembicaraan ini sangat luar biasa dan berbobot mencerminkan diskusi yang mendalam antara dua ekonom negara yang memiliki pemahaman kuat terhadap kondisi dan arah perekonomian seandainya para pengambil kebijakan khususnya para menteri memiliki kapasitas wawasan dan kedalaman berpikir seperti pak pur amp pak gita besar harapan indonesia dapat dikelola dengan lebih baik dan benar benar melangkah menjadi negara yang maju
2026-01-26T09:28:13Z,buka loker dulu baru ekonomi bisa maju
2026-01-26T08:31:58Z,great people bpk purbaya amp bpk gita tuhan beserta bapak bapak sekalian
2026-01-26T03:38:46Z,merinding
2026-01-25T22:52:57Z,malu mentri pendidikan ini mentri keuangan malah mikirin warganya buat banyak nyetak orang
2026-01-25T16:51:59Z,saya berminat
2026-01-25T14:01:59Z,real dibalik pria hebat ada wanita wife material
2026-01-25T04:19:05Z,sungguh sangat menambah motivasi saya utk hrs menyekolahkan setinggi tingginya anak quot dan keluarga sy tp syg relasi koneksi dan ekonami sy dan masyarakat mayoritas minus smg program dan kebijakan pak prabowo dan pak purbaya berhasil suxes maslahat dan diberkahi allah swt
2026-01-25T03:11:25Z,semoga tidak ada lagi tumbal negara yang dikorbankan untuk isi kepala yang kosong
2026-01-24T19:32:22Z,bapak kesayangan pak menkeu
2026-01-24T19:04:55Z,baru kali ini saya lihat pak gita ngakak wkwk
2026-01-24T17:43:21Z,aku hanya s pd a susah percaya diri aja saat ini saya sedang ikut kuliah ekonomi pak gita pak menteri gaji coba dibahas untuk penggajian p k pw berapa uang negara untuk keluar agar ada keseimbangan kesejahteraan ekonominyasukses selalu pak menteri
2026-01-24T15:54:07Z,ga kebayang kalo yang diwawancara mas gibran
2026-01-24T14:41:19Z,pembicataanya ngalir gitu aja ga ada yg d tahan untuk d tutupi
2026-01-24T11:14:35Z,indonesia sedang menata masa depan dr manusia indonesia ini
2026-01-24T10:07:03Z,jika gaji guru diperhatikan pasti banyak orang pintar yang mau mengajar
2026-01-24T09:58:43Z,i love you so much pak gita n pak menteri semoga niat baik kalian untuk bangsa yg besar ini terwujud atas kehendaknya n smoga hati kalian selalu diterangi cahayanya sayyidina muhammad saw
2026-01-24T06:02:20Z,mau kredit kur susah minta jaminan g sesuai aturan masih kek dulu
2026-01-24T04:22:42Z,kebijakan menteri terdampak pada rakyat rakyat hanya ingin hidup tenang makan cukup ibadah tenang itu sj
2026-01-24T00:08:32Z,sangat menarik
2026-01-23T21:54:37Z,terimakasih pak purbaya sadewa dan pak gita wirjawan atas kabar info pencerahannya sehat srlalu aamiin
2026-01-23T17:46:17Z,podcast termahal sejauh ini
2026-01-23T07:54:28Z,hebat menteri keuangan kita satu ini semoga sehat selalu selalu bapak aamiin yra
2026-01-22T18:55:30Z,wkwkwkwkwkwk mimpi
2026-01-22T17:02:12Z,surat hutang negara bagaimana sekarang pa
2026-01-22T16:17:19Z,periode saya mau dipimpin presiden seperti ini tdk rugi mulai dulu aku coblos prabowo
2026-01-22T08:36:33Z,panggil bennix dong pak bos gita
2026-01-22T07:46:11Z,olahraga sambil denger podcast pak gita
2026-01-22T07:21:44Z,coretax itu lo pak segera optimisasi rekrut yang bener quot orang pinter dibidangnya
2026-01-22T04:08:14Z,tetap pendirian dan semangat
2026-01-22T04:07:31Z,menteri keuangan amp pejabat bankbapak purbaya amp ibu stefanie
2026-01-22T02:30:39Z,dari sini kita tau bahwa salah satu poin yg beliau diskusikan ini pendidikan sangatlah penting utk menjamin kualitas manusia yg membaik utk masa depan yg penuh dengan ketidakpastian agar dapat bertahan dan mengimbanginya
2026-01-22T00:59:06Z,ini sih kuliah sks
2026-01-22T00:40:40Z,daging semua daripada nonton lawakan tunggal berdiri mending nonton ini guys merangsang saraf berpikir positif
2026-01-21T23:14:36Z,po mm nn nn jj jj jj
2026-01-21T21:40:34Z,ternyata boong
2026-01-21T19:44:20Z,y
2026-01-21T19:38:18Z,angkat topi buat pak gita dan pak purbaya sudah ngasih ilmu secara gratiss
2026-01-21T18:21:33Z,keren habis pak
2026-01-21T17:55:28Z,istri beliau yg hebat kok bisa kok ada pacaran mau nikah asalkn sekolah lagi itu luar biasa yg harus diwawancarai kedepan harus isteri beliau
2026-01-21T16:34:12Z,banyak orang pintar dinegeri ini akan tetapi mereka tidak disupport secara ugal ugalan oleh pemerintahnya sendiri karna apa sistem
2026-01-21T16:28:04Z,daging smua cok raja raja terakhir
2026-01-21T15:18:32Z,cuih potong joni mu insan
2026-01-21T14:32:02Z,ujung nya duit ratusan triliun juga buat perkaya pejabat lewat mbg ngapain susah s wkwkkw
2026-01-21T02:45:03Z,gila si ini eksklusif podcast berbobot tp dibawakan dengan ringan santai mereka ini orang dengan tidak hanya intelektualitasnya tinggi tp kecerdasan emosional nya luar biasa bener berkelas dan berkualitasyth bapak purbaya dan bapak gita wirjawanterima kasih banyak saya ucapkan
2026-01-21T00:26:49Z,ini pejabat yang menganalisa kehidupan rakyat nya bukan pejabat yang sibuk dengan urusan dirinya sendiri
2026-01-20T18:35:11Z,baru kali ini puas dengerin podcast narsum nya enak secara leluasa mengeluarkan pemikirannya dan host tidak menyela disaat poin omongan mantap
2026-01-20T18:06:58Z,gbr titik mau jdikan apa
2026-01-20T18:04:41Z,skalah gbr apakah jangkah pendek atau jangka panjang siring lupa susa byk suara
2026-01-20T18:01:31Z,pak sudarpian megajar tetap mengonor kesuasta dpt uang lebih
2026-01-20T17:59:15Z,percanaan tdk bgn agaran lebih murah dipasang rab semua antik
2026-01-20T17:57:20Z,dgn sekarang bukan pengabdian negara negara diperkosa
2026-01-20T17:16:15Z,e
2026-01-20T14:51:08Z,podcast mewah
2026-01-20T08:51:39Z,obrolan negarawan
2026-01-20T07:55:22Z,nampaknya dialog dua orang ilmuwan nyambung pak menkeu usulkan menjadi staf ahli kemenkeu
2026-01-20T04:29:43Z,saatnya rakyat melek nih belajar konsumsi yg kayak gini kayaknya lebih baik kemana mana liat ini dr pada liat panji
2026-01-20T04:23:55Z,busyeet ini podcast
2026-01-19T17:37:06Z,semangat mami
2026-01-19T17:06:01Z,podcast ilmu
2026-01-19T15:14:22Z,bapak mentri keuangan tolong setting umr disetarakan dengan gr emas
2026-01-19T13:35:01Z,sekarang aku tahu rasanya kuliah ekonomi keren pak
2026-01-19T09:48:49Z,kok bisa gak ada uang sistem tapi korup besar an
2026-01-19T08:09:30Z,apakah bisa bahas dsi yang kasusnya diduga menggelapkan t
2026-01-19T03:25:48Z,mahal
2026-01-18T20:27:54Z,tod
2026-01-18T20:23:44Z,jangan sampai listrik nggak ada geotermal
2026-01-18T20:22:52Z,jangan sampai listrik nggak ada
2026-01-18T20:18:17Z,minggu depan lebih baik teks
2026-01-18T20:09:13Z,penegakan hukum dan transaksi
2026-01-18T19:55:22Z,orang kita banyak yg nggak tahu
2026-01-18T19:46:45Z,cetak ekonom baru
2026-01-18T19:45:36Z,ekonom yg bagus kurang
2026-01-18T15:53:03Z,luar biasa
2026-01-18T10:54:23Z,mencoba untuk mendengarkan tetapi apa daya ilmu ekonomi saya cetek
2026-01-18T08:41:47Z,gue pengin p men keu berdiskusi dengan gfp dengan fikih islam biar g ekonom barat trus
2026-01-18T08:24:00Z,what a masterpiece podcast
2026-01-18T06:48:52Z,ormas ormas enaknya diapain
2026-01-18T05:55:44Z,ternyata membangun negara menjadi maju itu banyak hal quot kompleks yang harus dipikirkan termasuk mulai pendidikan usia dini
2026-01-18T03:21:38Z,sebagai seorang anak yg org tuanya sebagai seorang guru sangat terharu mendengar jawaban pak purbaya saat beliau bilang quot biarkan sy ciptakan pertumbuhan ekonomi dulu biar sy cukup modal utk membiayai itu quot sehat selalu pak purbaya smoga selalu dimudahkan dalam segala hal yg baik
2026-01-17T15:41:13Z,aamiin aamiin
2026-01-17T15:38:42Z,mohon maaf bapak purbaya dan bapak mohon maaf telah ikut menyimak pembicarannya terimakasih semoga tetap sehat semuanya semoga alloh selalu bersama kita semuanya mohon maaf bila sda kesalahan terimakasih
2026-01-17T15:16:08Z,semoga yg kita renakan semua berhasil walau pelan tapi pasti mohon maaf terimakasih
2026-01-17T15:07:49Z,mohon maaf bapak bapak atas semua usulnya mohon maaf hanya orang biasa terimakasih
2026-01-17T15:04:03Z,mohon maaf kalau guru ada uang lebih mungkin ekonomi lancar mohon maaf terimakasih
2026-01-17T14:18:37Z,alhamdulillah bapak purbaya semua kesuksesannya semoga tetap sehat semoga alloh selalu bersamanya terimakasih orang cerdas baik dan jujur mohon maaf komen bila ada salah terimakasih
2026-01-17T14:13:29Z,alhamdulillah bapak purbaya yg pintar dan baik jujur semoga berkah untuk semuanya sebagai pigur apalagi aku sebagai orang biasa mohon maaf terimakasih
2026-01-17T14:09:26Z,salam mohon maaf bapak bapak mohon maaf nyimak cerita pengalaman bapak purbaya yg sukses dan baik jujur dan sederhana dalam berbicara mohon maaf aku nyimak buat pengalaman terimakasih
2026-01-17T14:02:54Z,salam mohon maaf boleh ikut nyimak bapak purbaya menteri keuangan ri dan bapak yg menemaninya semoga sehat selalu semuanya mohon maaf terimakasih terimakasih pak h ustad hidayat atas bantuannya terimakasih
2026-01-17T13:30:44Z,sehat selalu pak mentri purbaya
2026-01-17T13:10:49Z,pastikan dan taukan anda dan yakini anda belum mesti solusi siapapun kalau jujur dan teraudit pasti akan nemu solusi
2026-01-17T05:47:28Z,d
2026-01-17T01:23:10Z,ekonomi ga bisa kenceng kalo harga bbm masih seperti ini pak
2026-01-16T23:09:19Z,ini baru mantabs obrolan orang berkelas yg pintar dan berkeinginan utk memajukan indonesia
2026-01-16T15:45:16Z,kapan undang dandhy laksono
2026-01-16T14:41:19Z,makasih ya dengan adanya podcast ini menjadi ilmu dan insight buat rakyat
2026-01-16T14:19:44Z,semakin yakin tuh yang kemenkeu sebelumnya agen cia setelah diambil balik ama bill gates
2026-01-16T11:48:27Z,mohon penncerahan soal genz ini saya ingin memahami bagaimana pola pikirnya disekolahin gratis level program kemetrian kok malah mundur apa pilihan lain yg menurut mereka lebih masuk akal saya yakin ada pilihan lain yg lebih menarik
2026-01-16T08:33:54Z,dari sekian banyaknya menteri dan wamen yang gemuk dipriode saat ini baru purbaya yang mau duduk meluangkan waktu berdiskusi menguji keluasan berfikir bersama pak gita
2026-01-16T06:13:20Z,pak menteri purbaya saya asn siap awardee
2026-01-16T02:29:02Z,karena agen cia dijadikan mentri
2026-01-16T00:36:57Z,god bless indonesia pemimpin pintar dan bijaksana
2026-01-15T16:27:17Z,saya yg bodoh juga nangkapnya jelasmksh pak
2026-01-15T15:51:25Z,pak sekolahin saya
2026-01-15T15:12:54Z,ayo mengabdi teman teman lulusan lpdp demi menaikkan status negara kita
2026-01-15T14:43:00Z,qdfhhdhfiaidutidudhvbzhcuawytdbvvz nfjdjdjbs njfjfjf jdkdjjf jfjfjfjf nfjdjf dendd nfjfjf ndjdjd kfnf xj jejdjdj
2026-01-15T14:25:52Z,gen z bener lo yaa
2026-01-15T13:11:59Z,pak mentri saya mau tanya kalau kalau untuk kami yang tamat sma tapi suka menaman tanaman tetapi ada tempat dengan umur yang sudah mau masuk mungkin kawan kawan kami yang lain juga banyak yang minat
2026-01-15T12:55:41Z,belajarlah sebelum ketinggalan pelajar lainnya
2026-01-15T06:58:18Z,ide nya luar biasa pak tp koruptor tolong sikat dlu krna mereka yang menghambat indonesia untuk lebih berkembang untuk maju
2026-01-15T05:07:51Z,ekonomi berbisik
2026-01-15T01:44:27Z,owalaa mantan slb tooh
2026-01-14T20:01:49Z,berat ini bahasannya
2026-01-14T18:06:20Z,ternyata mereka gen z
2026-01-14T17:58:34Z,mewah sekali seperti menguping pembicaraan elit politik
2026-01-14T16:28:00Z,setuju kuliah gratis dapat ilmu dari orang yg tepat saya orang awam tercerahkan oleh orang yg kredible ditengah banyak orang yg abal terimakasih
2026-01-14T16:09:48Z,kalau undang mas gibran pasti paham smua tentang ekonomi global
2026-01-14T13:29:33Z,finally dude
2026-01-14T08:58:21Z,btpn bang tabungan pensiun ini uang para oensiunan yg utang peminjam dapat jasa mak harus dihapuskan dan dapat jasa terimakasih
2026-01-14T08:21:06Z,ci katanya neng bunga ketangkap polisi ap itu bener
2026-01-14T07:38:50Z,ini tontonan mahal masya allah sehat selalu pak purbaya yudhi sadewa
2026-01-14T02:58:24Z,anjir ilmu pol meski aku jane gak mudeng wkwkwkw
2026-01-14T00:28:49Z,terimakasih yaallah bisa dengerin obrolan ini gratis dan rebahan
2026-01-13T13:27:35Z,ya allah bapak bapak ini kepribadian pengetahuannya jinja deebak
2026-01-13T13:26:51Z,the only menteri yang tidak takut dengan diskusi intelektual
2026-01-13T12:37:30Z,seluruh menteri dan anggota dpr harus menyimak perbincangan diskusi antara pak purbaya dan gita wirawan
2026-01-13T10:47:15Z,daging semua obrolanya
2026-01-13T10:32:52Z,daging semua
2026-01-13T10:15:14Z,terimakasih sudah mewawancarai seorang purbaya ini podcast berkelas saya mau subscribe karena narasumber nya berkualitas
2026-01-13T09:01:36Z,pendidikan yang bagus tempat kerja yang tepat sesuai keahlian moral yang baik alias mencari uang yang halal didukung oleh pemerintah yang baik dan sehat untuk indonesia yang maju dan sejahtera
2026-01-13T06:15:59Z,gila sih ini purbaya menurut guee
2026-01-13T01:42:33Z,up
2026-01-12T23:01:23Z,asli mahal ini mahal kelaass
2026-01-12T18:59:48Z,salam hormat untuk bapak berdua
2026-01-12T17:34:46Z,absolute cinema
2026-01-12T16:57:13Z,masterclass
2026-01-12T16:35:32Z,diskusi keren semoga anda bisa membuat bangsa ini menjadi bangsa yg maju
2026-01-12T15:41:29Z,menurut orang yang memiliki ekonomi awam seperti saya jujur pembawaan pak gita lebih mudah dimengerti untuk pembawaan pak purbaya menurut saya terlalu menggunakan bahasa ahli sehingga agak sulit dimengerti untuk orang yang level pengetahuan ekonominya masih newbie seperti saya
2026-01-12T14:43:19Z,kebanyakan orang indo ingin dapat beasiswa cman banyak yang gak ngerti jalur dan caranyasperti hanya segelintir orang saja yang tau
2026-01-12T14:13:49Z,terima kasih atas wawasan baru yang dibagi ditunggu diskusi selanjutnya
2026-01-12T13:50:46Z,stabilin harga tanpa drama berkat mbg perputaran ekonomi juga makin lancar buat semua orang
2026-01-12T13:26:58Z,keren pak gita
2026-01-12T13:26:16Z,dimana mana pak purbaya
2026-01-12T08:38:34Z,ini baru model dan panutan bapak
2026-01-12T08:37:18Z,mantap gak kya yang sebelumnya dikit pajak naik
2026-01-12T07:05:56Z,brunei kalo malem gelap gak ada apa percuma listrik nya berlimpah
2026-01-12T03:29:31Z,keren pak purbaya
2026-01-11T21:38:37Z,ikn skr sudah ada wisata ikn tuh mrk sdh jalan sendiri krn kepo guide dpt uang ha ha ha
2026-01-11T21:27:26Z,jd penasaran gmn si istri pk pur ini
2026-01-11T18:31:52Z,ndaging semua kelaz sih ini waww
2026-01-11T17:59:19Z,terima kasih pak gita sudah up gaji guru terima kasih pak pur sudah masukkan itu sbagai bagian dr catatan
2026-01-11T16:17:20Z,sangat disesalkan tahun jokowi berkuasa mengeluarkan pernyataan skill tanpa melihat latar belakang kualitas pendidikan yang ternyata ybs berijazah palsu yang mencerminkan tidak memikirkan kualitas pemdidikan anak bangsa
2026-01-11T15:52:43Z,ini obrolan isinya daging semua
2026-01-11T15:14:42Z,hanya ini podcast yang bernilai
2026-01-11T14:55:49Z,semoga aja aman kita aamiin
2026-01-11T12:12:08Z,jangan salah sekarang guru yg bersertifikasi gajinya dobel
2026-01-11T10:34:47Z,turunin tunjangan anggota dewan naikkan gaji guru sulit susah ya
2026-01-11T10:10:47Z,dari pembicaraan ini banyak yang ga bisa kerja cuma hoki aja kepilih dapet jabatan semoga kelak ada sekolah khusus untuk para pejabat sebelum bisa mencalonkan diri
2026-01-11T09:47:15Z,yang bener bang
